ID,name,date,plate,row,col,size,seq,concentration,volume,features,location,reference,comments,description
,,,4,E,7,,,,,,ds_dna_plates,,,
,,,4,E,8,,,,,,ds_dna_plates,,,
,,,4,E,9,,,,,,ds_dna_plates,,,
,,,4,E,10,,,,,,ds_dna_plates,,,
,,,4,E,11,,,,,,ds_dna_plates,,,
,,,4,E,12,,,,,,ds_dna_plates,,,
,,,4,F,1,,,,,,ds_dna_plates,,,
,,,4,F,2,,,,,,ds_dna_plates,,,
,,,4,F,3,,,,,,ds_dna_plates,,,
,,,4,F,4,,,,,,ds_dna_plates,,,
,,,4,F,5,,,,,,ds_dna_plates,,,
,,,4,F,6,,,,,,ds_dna_plates,,,
,,,4,F,7,,,,,,ds_dna_plates,,,
,,,4,F,8,,,,,,ds_dna_plates,,,
,,,4,F,9,,,,,,ds_dna_plates,,,
,,,4,F,10,,,,,,ds_dna_plates,,,
,,,4,F,11,,,,,,ds_dna_plates,,,
,,,4,F,12,,,,,,ds_dna_plates,,,
,,,4,G,1,,,,,,ds_dna_plates,,,
,,,4,G,2,,,,,,ds_dna_plates,,,
,,,4,G,3,,,,,,ds_dna_plates,,,
,,,4,G,4,,,,,,ds_dna_plates,,,
,,,4,G,5,,,,,,ds_dna_plates,,,
,,,4,G,6,,,,,,ds_dna_plates,,,
,,,4,G,7,,,,,,ds_dna_plates,,,
,,,4,G,8,,,,,,ds_dna_plates,,,
,,,4,G,9,,,,,,ds_dna_plates,,,
,,,4,G,10,,,,,,ds_dna_plates,,,
,,,4,G,11,,,,,,ds_dna_plates,,,
,,,4,G,12,,,,,,ds_dna_plates,,,
,,,4,H,1,,,,,,ds_dna_plates,,,
,,,4,H,2,,,,,,ds_dna_plates,,,
,,,4,H,3,,,,,,ds_dna_plates,,,
,,,4,H,4,,,,,,ds_dna_plates,,,
,,,4,H,5,,,,,,ds_dna_plates,,,
,,,4,H,6,,,,,,ds_dna_plates,,,
,,,4,H,7,,,,,,ds_dna_plates,,,
,,,4,H,8,,,,,,ds_dna_plates,,,
,,,4,H,9,,,,,,ds_dna_plates,,,
,,,4,H,10,,,,,,ds_dna_plates,,,
,,,4,H,11,,,,,,ds_dna_plates,,,
,,,4,H,12,,,,,,ds_dna_plates,,,
,,,5,A,1,,,,,,ds_dna_plates,,,
,,,5,A,2,,,,,,ds_dna_plates,,,
,,,5,A,3,,,,,,ds_dna_plates,,,
,,,5,A,4,,,,,,ds_dna_plates,,,
,,,5,A,5,,,,,,ds_dna_plates,,,
,,,5,A,6,,,,,,ds_dna_plates,,,
,,,5,A,7,,,,,,ds_dna_plates,,,
,,,5,A,8,,,,,,ds_dna_plates,,,
,,,5,A,9,,,,,,ds_dna_plates,,,
,,,5,A,10,,,,,,ds_dna_plates,,,
,,,5,A,11,,,,,,ds_dna_plates,,,
,,,5,A,12,,,,,,ds_dna_plates,,,
,,,5,B,1,,,,,,ds_dna_plates,,,
,,,5,B,2,,,,,,ds_dna_plates,,,
,,,5,B,3,,,,,,ds_dna_plates,,,
,,,5,B,4,,,,,,ds_dna_plates,,,
,,,5,B,5,,,,,,ds_dna_plates,,,
,,,5,B,6,,,,,,ds_dna_plates,,,
,,,5,B,7,,,,,,ds_dna_plates,,,
,,,5,B,8,,,,,,ds_dna_plates,,,
,,,5,B,9,,,,,,ds_dna_plates,,,
,,,5,B,10,,,,,,ds_dna_plates,,,
,,,5,B,11,,,,,,ds_dna_plates,,,
,,,5,B,12,,,,,,ds_dna_plates,,,
,,,5,C,1,,,,,,ds_dna_plates,,,
,,,5,C,2,,,,,,ds_dna_plates,,,
,,,5,C,3,,,,,,ds_dna_plates,,,
,,,5,C,4,,,,,,ds_dna_plates,,,
,,,5,C,5,,,,,,ds_dna_plates,,,
,,,5,C,6,,,,,,ds_dna_plates,,,
,,,5,C,7,,,,,,ds_dna_plates,,,
,,,5,C,8,,,,,,ds_dna_plates,,,
,,,5,C,9,,,,,,ds_dna_plates,,,
,,,5,C,10,,,,,,ds_dna_plates,,,
,,,5,C,11,,,,,,ds_dna_plates,,,
,,,5,C,12,,,,,,ds_dna_plates,,,
,,,5,D,1,,,,,,ds_dna_plates,,,
,,,5,D,2,,,,,,ds_dna_plates,,,
,,,5,D,3,,,,,,ds_dna_plates,,,
,,,5,D,4,,,,,,ds_dna_plates,,,
,,,5,D,5,,,,,,ds_dna_plates,,,
,,,5,D,6,,,,,,ds_dna_plates,,,
,,,5,D,7,,,,,,ds_dna_plates,,,
,,,5,D,8,,,,,,ds_dna_plates,,,
,,,5,D,9,,,,,,ds_dna_plates,,,
,,,5,D,10,,,,,,ds_dna_plates,,,
,,,5,D,11,,,,,,ds_dna_plates,,,
,,,5,D,12,,,,,,ds_dna_plates,,,
,,,5,E,1,,,,,,ds_dna_plates,,,
